Date_of_update|Council_ID|LEP_NSI_zone|LEP_SI_zone|LEP_name
20130311|100001||R2|R2 Low Density Residential
20130311|100002||R2|R2 Low Density Residential
20130311|100018||E3|Zone E3  Environmental Management
20130311|100019||E3|Zone E3  Environmental Management
20130311|100022||R2|R2 Low Density Residential
20130311|100003||R2|R2 Low Density Residential
20130311|100020||R2|R2 Low Density Residential
20130311|100004||R2|R2 Low Density Residential
20130311|100015||R2|R2 Low Density Residential
20130311|100021||R2|R2 Low Density Residential
20130311|100005||R2|R2 Low Density Residential
20130311|100006||R2|R2 Low Density Residential
20130311|100007||R2|R2 Low Density Residential
20130311|100008||R2|R2 Low Density Residential
20130311|100009||R2|R2 Low Density Residential
20130311|100010||R2|R2 Low Density Residential
20130311|100017||R2|R2 Low Density Residential
20130311|100011||E3|Zone E3  Environmental Management
20130311|100012||R2|R2 Low Density Residential
20130311|100013||R2|R2 Low Density Residential
20130311|100016||R2|R2 Low Density Residential
20130311|100030||R2|R2 Low Density Residential
20130311|100031||R2|R2 Low Density Residential
20130311|100040||R2|R2 Low Density Residential
20130311|100041||R2|R2 Low Density Residential
20130311|100050||R2|R2 Low Density Residential
20130311|100060||R2|R2 Low Density Residential
20130311|100061||R2|R2 Low Density Residential
20130311|100100||R2|R2 Low Density Residential
20130311|100101||R2|R2 Low Density Residential
