date_of_update|LEP_NSI_zone|Council_ID|LEP_SI_zone|LEP_name|Badger
20130311|100001||R2|R2 Low Density Residential|one
20130311|100001||R3|R3 Low Density Residential|one
20130311|100001||R4|R4 Low Density Residential|one
20130311|100018||E3|Zone E3  Environmental Management|one
20130311|100019||E3|Zone E3  Environmental Management|one
20130311|100022||R2|R2 Low Density Residential|one
20130311|100005||R2|R2 Low Density Residential|one
20130311|100010||R2|R2 Low Density Residential|one
20130311|100017||R2|R2 Low Density Residential|one
20130311|100011||R2|R2 Low Density Residential|one
20130311|100012||R2|R2 Low Density Residential|one
20130311|100013||R2|R2 Low Density Residential|one
20130311|100016||R2|R2 Low Density Residential|one
20130311|100030||R2|R2 Low Density Residential|one
20130311|100031||R2|R2 Low Density Residential|one
20130311|100040||R2|R2 Low Density Residential|one
20130311|100041||R2|R2 Low Density Residential|one
